Accession,Release_Date,Species,Length,Nuc_Completeness
NC_049973,2020-07-29T00:00:00Z,Bacillus virus SRT01hs,20784,complete
NC_049974,2020-07-29T00:00:00Z,Bacillus phage Gxv1,21781,complete
NC_049975,2020-07-29T00:00:00Z,Bacillus phage vB_BsuP-Goe1,18379,complete
NC_049976,2020-07-29T00:00:00Z,Bacillus phage Nf,18753,complete
NC_049977,2020-07-29T00:00:00Z,Bacteroides phage crAss001,102679,complete
NC_049978,2020-07-29T00:00:00Z,IAS virus,99915,complete
NC_049927,2020-07-28T00:00:00Z,Microbacterium phage McGalleon,42562,complete
NC_049928,2020-07-28T00:00:00Z,Microbacterium phage MonChoix,41670,complete
NC_049929,2020-07-28T00:00:00Z,Microbacterium phage Teagan,41793,complete
NC_049930,2020-07-28T00:00:00Z,Enterococcus phage vB_EfaP_Zip,18742,complete
NC_049931,2020-07-28T00:00:00Z,Enterococcus phage vB_EfaP_IME199,18838,complete
NC_049932,2020-07-28T00:00:00Z,Enterococcus phage vB_EfaP_Ef6.2,17966,complete
NC_049933,2020-07-28T00:00:00Z,Enterococcus phage vB_EfaP_Ef6.3,18136,complete
NC_049934,2020-07-28T00:00:00Z,Enterococcus phage vB_EfaP_Ef7.2,18737,complete
NC_049935,2020-07-28T00:00:00Z,Enterococcus phage vB_EfaP_Efmus4,18186,complete
NC_049936,2020-07-28T00:00:00Z,Enterococcus phage vB_EfaP_Efmus3,18286,complete
NC_049937,2020-07-28T00:00:00Z,Enterococcus phage Idefix,18168,complete
NC_049938,2020-07-28T00:00:00Z,Enterococcus phage vB_EfaP_Efmus1,17927,complete
NC_049939,2020-07-28T00:00:00Z,Enterococcus phage vB_EfaP_Ef7.3,18818,complete
NC_049940,2020-07-28T00:00:00Z,Enterococcus phage vB_EfaP_Ef7.4,18415,complete
NC_049917,2020-07-27T00:00:00Z,Escherichia phage Lys12581Vzw,62668,complete
NC_049918,2020-07-27T00:00:00Z,Escherichia phage ArgO145,62020,complete
NC_049919,2020-07-27T00:00:00Z,Escherichia phage SH2026Stx1,61564,complete
NC_049920,2020-07-27T00:00:00Z,Stx1 converting phage AU5Stx1,58371,complete
NC_049921,2020-07-27T00:00:00Z,Stx1 converting phage AU6Stx1,57123,complete
NC_049922,2020-07-27T00:00:00Z,Stx converting phage vB_EcoS_ST2-8624,62822,complete
NC_049923,2020-07-27T00:00:00Z,Stx2-converting phage Stx2a_WGPS9,56224,complete
NC_049924,2020-07-27T00:00:00Z,Stx2-converting phage Stx2a_F451,64900,complete
NC_049925,2020-07-27T00:00:00Z,Stx converting phage vB_EcoS_P27,61580,complete
NC_049926,2020-07-27T00:00:00Z,Escherichia phage ECP1,40469,complete
NC_049900,2020-07-26T00:00:00Z,Listeria phage LP-HM00113468,40298,complete
NC_049854,2020-07-23T00:00:00Z,Lactococcus phage AM1,125658,complete
NC_049855,2020-07-23T00:00:00Z,Lactococcus phage LW81,128179,complete
NC_049856,2020-07-23T00:00:00Z,Lactococcus phage AM4,132949,complete
NC_049857,2020-07-23T00:00:00Z,Lactococcus phage P1048,123023,complete
NC_049805,2020-07-22T00:00:00Z,Lactococcus phage phiQ1,59833,complete
NC_049806,2020-07-22T00:00:00Z,Lactococcus phage LW31,60551,complete
NC_049807,2020-07-22T00:00:00Z,Lactococcus phage AM6,62054,complete
NC_049808,2020-07-22T00:00:00Z,Lactococcus phage P596,57909,complete
NC_049809,2020-07-22T00:00:00Z,Lactococcus phage Q33,31106,complete
NC_049810,2020-07-22T00:00:00Z,Lactococcus phage 50902,30745,complete
NC_049811,2020-07-22T00:00:00Z,Lactococcus phage 62503,30556,complete
NC_049812,2020-07-22T00:00:00Z,Lactococcus phage P1045,31050,complete
NC_049813,2020-07-22T00:00:00Z,Escherichia phage vB_EcoS-12210I,44219,complete
NC_049814,2020-07-22T00:00:00Z,Shigella phage JK16,51854,complete
NC_049815,2020-07-22T00:00:00Z,Escherichia phage tonn,51012,complete
NC_049816,2020-07-22T00:00:00Z,Escherichia phage tunus,51111,complete
NC_049817,2020-07-22T00:00:00Z,Escherichia phage tonnikala,51277,complete
NC_049818,2020-07-22T00:00:00Z,Escherichia phage tonijn,51627,complete
NC_049819,2020-07-22T00:00:00Z,Escherichia phage atuna,50732,complete
NC_049820,2020-07-22T00:00:00Z,Shigella virus 2019SD1,53145,complete
NC_049821,2020-07-22T00:00:00Z,Salmonella phage slyngel,51048,complete
NC_049822,2020-07-22T00:00:00Z,Escherichia phage vB_EcoS_G29-2,51739,complete
NC_049823,2020-07-22T00:00:00Z,Escherichia phage herni,50971,complete
NC_049824,2020-07-22T00:00:00Z,Escherichia phage vojen,50709,complete
NC_049825,2020-07-22T00:00:00Z,Escherichia phage grams,49530,complete
NC_049826,2020-07-22T00:00:00Z,Escherichia phage aaroes,51662,complete
NC_049827,2020-07-22T00:00:00Z,Escherichia phage damhaus,51154,complete
NC_049828,2020-07-22T00:00:00Z,Escherichia phage haarsle,48613,complete
NC_049829,2020-07-22T00:00:00Z,Escherichia phage aalborv,46660,complete
NC_049830,2020-07-22T00:00:00Z,Escherichia phage PGN590,49043,complete
NC_049831,2020-07-22T00:00:00Z,Shigella virus Sfin-3,50309,complete
NC_049832,2020-07-22T00:00:00Z,Escherichia phage vB_EcoS-DELF2,50168,complete
NC_049833,2020-07-22T00:00:00Z,Klebsiella phage vB_KpnS_SegesCirculi,50713,complete
NC_049834,2020-07-22T00:00:00Z,Klebsiella phage vB_KpnS_IMGroot,52866,complete
NC_049835,2020-07-22T00:00:00Z,Klebsiella phage vB_KpnS_Domnhall,54438,complete
NC_049836,2020-07-22T00:00:00Z,Klebsiella phage vB_KpnS_Call,51487,complete
NC_049837,2020-07-22T00:00:00Z,Klebsiella phage vB_KpnS_Alina,51780,complete
NC_049838,2020-07-22T00:00:00Z,Klebsiella phage KL,47844,complete
NC_049839,2020-07-22T00:00:00Z,Klebsiella phage Sweeny,50241,complete
NC_049840,2020-07-22T00:00:00Z,Klebsiella phage vB_KpnS_FZ10,50381,complete
NC_049841,2020-07-22T00:00:00Z,Klebsiella phage Skenny,49935,complete
NC_049842,2020-07-22T00:00:00Z,Klebsiella phage vB_KpnS_15-38_KLPPOU149,49316,complete
NC_049843,2020-07-22T00:00:00Z,Klebsiella phage JY917,37655,complete
NC_049844,2020-07-22T00:00:00Z,Klebsiella phage 13,43094,complete
NC_049845,2020-07-22T00:00:00Z,Klebsiella phage PhiKpNIH-2,49477,complete
NC_049846,2020-07-22T00:00:00Z,Klebsiella phage Shelby,49045,complete
NC_049847,2020-07-22T00:00:00Z,Klebsiella phage Sin4,49916,complete
NC_049848,2020-07-22T00:00:00Z,Klebsiella phage KP1801,49835,complete
NC_049849,2020-07-22T00:00:00Z,Achromobacter phage Motura,221431,complete
NC_049850,2020-07-22T00:00:00Z,Burkholderia phage BcepSaruman,263735,complete
NC_049851,2020-07-22T00:00:00Z,Burkholderia phage BcepSauron,262653,complete
NC_049852,2020-07-22T00:00:00Z,Escherichia phage egaa,51643,complete
NC_049853,2020-07-22T00:00:00Z,Escherichia phage Henu8,49890,complete
NC_049340,2020-07-03T00:00:00Z,Tenacibaculum phage PTm1,224680,complete
NC_049341,2020-07-03T00:00:00Z,Escherichia phage 503458,31194,complete
NC_049342,2020-07-03T00:00:00Z,Escherichia phage 500465-1,39179,complete
NC_049343,2020-07-03T00:00:00Z,Escherichia phage 500465-2,33041,complete
NC_049344,2020-07-03T00:00:00Z,Escherichia phage 520873,37583,complete
NC_049345,2020-07-03T00:00:00Z,Roseovarius Plymouth podovirus 1,74704,complete
NC_049346,2020-07-03T00:00:00Z,Lactococcus phage 936,27302,complete
NC_049347,2020-07-03T00:00:00Z,Lactococcus phage fd13,30674,complete
NC_049348,2020-07-03T00:00:00Z,Lactococcus lactis phage p272,30778,complete
NC_049349,2020-07-03T00:00:00Z,Lactococcus lactis phage P475,30961,complete
NC_049350,2020-07-03T00:00:00Z,Vibrio phage VCO139,68964,complete
NC_049351,2020-07-03T00:00:00Z,Lactococcus phage CaseusJM1,30692,complete
NC_049352,2020-07-03T00:00:00Z,Lactococcus phage phi15,31945,complete
NC_049353,2020-07-03T00:00:00Z,Lactococcus phage phi145,30862,complete
NC_049354,2020-07-03T00:00:00Z,Lactococcus phage 936 group phage PhiA.16,28349,complete
NC_049355,2020-07-03T00:00:00Z,Lactococcus phage 936 group phage PhiB1127,28785,complete
NC_049356,2020-07-03T00:00:00Z,Lactococcus phage 936 group phage Phi19.3,28811,complete
NC_049357,2020-07-03T00:00:00Z,Lactococcus phage 936 group phage Phi5.12,29026,complete
NC_049358,2020-07-03T00:00:00Z,Lactococcus phage 936 group phage PhiF0139,30811,complete
NC_049359,2020-07-03T00:00:00Z,Lactococcus phage 936 group phage PhiL.18,30882,complete
NC_049360,2020-07-03T00:00:00Z,Lactococcus phage 936 group phage Phi109,31033,complete
NC_049361,2020-07-03T00:00:00Z,Lactococcus phage 936 group phage PhiL.6,31181,complete
NC_049362,2020-07-03T00:00:00Z,Lactococcus phage 936 group phage Phi4.2,31375,complete
NC_049363,2020-07-03T00:00:00Z,Lactococcus phage 936 group phage Phi44,31379,complete
NC_049364,2020-07-03T00:00:00Z,Lactococcus phage 936 group phage Phi91127,31495,complete
NC_049365,2020-07-03T00:00:00Z,Lactococcus phage 936 group phage PhiJF1,31901,complete
NC_049366,2020-07-03T00:00:00Z,Lactococcus phage 936 group phage Phi155,32150,complete
NC_049367,2020-07-03T00:00:00Z,Lactococcus phage 936 group phage PhiE1127,32270,complete
NC_049368,2020-07-03T00:00:00Z,Lactococcus phage 936 group phage PhiM1127,32682,complete
NC_049369,2020-07-03T00:00:00Z,Lactococcus phage 936 group phage PhiLj,28983,complete
NC_049370,2020-07-03T00:00:00Z,Lactococcus phage 936 group phage PhiS0139,30116,complete
NC_049371,2020-07-03T00:00:00Z,Dinoroseobacter phage DS-1410Ws-06,76466,complete
NC_049372,2020-07-03T00:00:00Z,Roseobacter phage RD-1410W1-01,72674,complete
NC_049373,2020-07-03T00:00:00Z,Lactococcus phage 16W23,32477,complete
NC_049374,2020-07-03T00:00:00Z,Lactococcus phage 10W18,32393,complete
NC_049375,2020-07-03T00:00:00Z,Lactococcus phage i0139,29513,complete
NC_049376,2020-07-03T00:00:00Z,Lactococcus phage 3R16S,30446,complete
NC_049377,2020-07-03T00:00:00Z,Lactococcus phage 13W11L,29952,complete
NC_049378,2020-07-03T00:00:00Z,Salmonella phage ST-W77,157458,complete
NC_049379,2020-07-03T00:00:00Z,Vibrio phage vB_VspP_pVa5,78145,complete
NC_049380,2020-07-03T00:00:00Z,Vibrio phage JSF3,69396,complete
NC_049381,2020-07-03T00:00:00Z,Lactococcus phage R31,27203,complete
NC_049382,2020-07-03T00:00:00Z,Salmonella phage BSP101,157665,complete
NC_049383,2020-07-03T00:00:00Z,Tenacibaculum phage pT24,234670,complete
NC_049384,2020-07-03T00:00:00Z,Enterobacter phage EspM4VN,160766,complete
NC_049385,2020-07-03T00:00:00Z,Escherichia virus P2_2H4,31342,complete
NC_049386,2020-07-03T00:00:00Z,Escherichia virus P2_2H1,32662,complete
NC_049387,2020-07-03T00:00:00Z,Escherichia virus P2_4B2,32118,complete
NC_049388,2020-07-03T00:00:00Z,Escherichia virus P2_4C9,32150,complete
NC_049389,2020-07-03T00:00:00Z,Escherichia virus P2_4E6b,31128,complete
NC_049390,2020-07-03T00:00:00Z,Escherichia virus P2_4A7b,32848,complete
NC_049391,2020-07-03T00:00:00Z,Escherichia virus P88_4B11,37100,complete
NC_049392,2020-07-03T00:00:00Z,Escherichia phage ESSI2_ev239,29203,complete
NC_049393,2020-07-03T00:00:00Z,Escherichia phage ESSI2_ev040,30597,complete
NC_049394,2020-07-03T00:00:00Z,Escherichia phage ESSI2_ev129,30927,complete
NC_049395,2020-07-03T00:00:00Z,Escherichia phage ESSI2_ev015,30584,complete
NC_049396,2020-07-03T00:00:00Z,Salmonella phage SP1,156585,complete
NC_049397,2020-07-03T00:00:00Z,Lactococcus phage 05601,32895,complete
NC_049398,2020-07-03T00:00:00Z,Lactococcus phage 16802,28721,complete
NC_049399,2020-07-03T00:00:00Z,Lactococcus phage 30804,30401,complete
NC_049400,2020-07-03T00:00:00Z,Lactococcus phage 37201,30989,complete
NC_049401,2020-07-03T00:00:00Z,Lactococcus phage 38503,27948,complete
NC_049402,2020-07-03T00:00:00Z,Lactococcus phage 38507,32458,complete
NC_049403,2020-07-03T00:00:00Z,Lactococcus phage 51701,32529,complete
NC_049404,2020-07-03T00:00:00Z,Lactococcus phage 56003,30926,complete
NC_049405,2020-07-03T00:00:00Z,Lactococcus phage 56301,32555,complete
NC_049406,2020-07-03T00:00:00Z,Lactococcus phage 57001,31819,complete
NC_049407,2020-07-03T00:00:00Z,Lactococcus phage 62601,30852,complete
NC_049408,2020-07-03T00:00:00Z,Lactococcus phage 62605,31014,complete
NC_049409,2020-07-03T00:00:00Z,Lactococcus phage 63302,31883,complete
NC_049410,2020-07-03T00:00:00Z,Lactococcus phage 66901,28917,complete
NC_049411,2020-07-03T00:00:00Z,Lactococcus phage 79201,31123,complete
NC_049412,2020-07-03T00:00:00Z,Lactococcus phage 88605,31508,complete
NC_049413,2020-07-03T00:00:00Z,Lactococcus phage 96401,29306,complete
NC_049414,2020-07-03T00:00:00Z,Lactococcus phage 96403,26874,complete
NC_049415,2020-07-03T00:00:00Z,Lactococcus phage 96603,30690,complete
NC_049416,2020-07-03T00:00:00Z,Lactococcus phage LP8511,29953,complete
NC_049417,2020-07-03T00:00:00Z,Lactococcus phage LP9207,29203,complete
NC_049418,2020-07-03T00:00:00Z,Lactococcus phage LP9404,30072,complete
NC_049419,2020-07-03T00:00:00Z,Lactococcus phage LP9609,30945,complete
NC_049420,2020-07-03T00:00:00Z,Lactococcus phage LP9903,29557,complete
NC_049421,2020-07-03T00:00:00Z,Lactococcus phage LP9908,29668,complete
NC_049422,2020-07-03T00:00:00Z,Lactococcus phage LP0209,30339,complete
NC_049423,2020-07-03T00:00:00Z,Lactococcus phage LP0903,31049,complete
NC_049424,2020-07-03T00:00:00Z,Lactococcus phage LP1502a,30247,complete
NC_049425,2020-07-03T00:00:00Z,Lactococcus phage vB_Llc_bIBB5g1,30132,complete
NC_049426,2020-07-03T00:00:00Z,Lactococcus phage vB_Llc_bIBBF12,29454,complete
NC_049427,2020-07-03T00:00:00Z,Escherichia phage FEC14,158639,complete
NC_049428,2020-07-03T00:00:00Z,Salmonella phage Mutine,161502,complete
NC_049429,2020-07-03T00:00:00Z,Enterobacter phage phiT5282H,31978,complete
NC_049430,2020-07-03T00:00:00Z,Vibrio phage 1.026.O._10N.222.49.C7,75880,complete
NC_049431,2020-07-03T00:00:00Z,Vibrio phage 1.097.O._10N.286.49.B3,76918,complete
NC_049432,2020-07-03T00:00:00Z,Ralstonia phage RsoM1USA,39309,complete
NC_049433,2020-07-03T00:00:00Z,Escherichia phage EP75,158143,complete
NC_049434,2020-07-03T00:00:00Z,Lactococcus phage MP1,32575,complete
NC_049435,2020-07-03T00:00:00Z,Ruegeria phage vB_RpoP-V12,74675,complete
NC_049436,2020-07-03T00:00:00Z,Ruegeria phage vB_RpoP-V13,74830,complete
NC_049437,2020-07-03T00:00:00Z,Salmonella phage S118,157013,complete
NC_049438,2020-07-03T00:00:00Z,Acinetobacter phage vB_ApiM_fHyAci03,165975,complete
NC_049439,2020-07-03T00:00:00Z,Salmonella phage SenASZ3,157630,complete
NC_049440,2020-07-03T00:00:00Z,Salmonella phage SenALZ1,154811,complete
NC_049441,2020-07-03T00:00:00Z,Acinetobacter phage KARL-1,166560,complete
NC_049442,2020-07-03T00:00:00Z,Arthrobacter phage KBurrousTX,71020,complete
NC_049443,2020-07-03T00:00:00Z,Salmonella phage SeSz-1,155297,complete
NC_049444,2020-07-03T00:00:00Z,Klebsiella phage Pylas,70408,complete
NC_049445,2020-07-03T00:00:00Z,Acinetobacter phage AbTZA1,168223,complete
NC_049446,2020-07-03T00:00:00Z,Lactococcus phage 8V08,32312,complete
NC_049447,2020-07-03T00:00:00Z,Lactococcus phage MV10L,31374,complete
NC_049448,2020-07-03T00:00:00Z,Klebsiella phage ST437-OXA245phi4.1,39642,complete
NC_049449,2020-07-03T00:00:00Z,Klebsiella phage ST437-OXA245phi4.2,18281,complete
NC_049450,2020-07-03T00:00:00Z,Klebsiella phage ST16-OXA48phi5.4,38322,complete
NC_049451,2020-07-03T00:00:00Z,Klebsiella phage ST147-VIM1phi7.1,34141,complete
NC_049452,2020-07-03T00:00:00Z,Klebsiella phage ST512-KPC3phi13.2,32302,complete
NC_049453,2020-07-03T00:00:00Z,Klebsiella phage ST13-OXA48phi12.1,39086,complete
NC_049454,2020-07-03T00:00:00Z,Klebsiella phage ST15-OXA48phi14.1,33839,complete
NC_049455,2020-07-03T00:00:00Z,Shigella phage MK-13,158755,complete
NC_049456,2020-07-03T00:00:00Z,Pseudomonas phage Zuri,75873,complete
NC_049457,2020-07-03T00:00:00Z,Escherichia phage vB_EcoM-12474III,33807,complete
NC_049458,2020-07-03T00:00:00Z,Salmonella phage SS9,156329,complete
NC_049459,2020-07-03T00:00:00Z,Salmonella phage SW9,31123,complete
NC_049460,2020-07-03T00:00:00Z,Salmonella phage SI7,30164,complete
NC_049461,2020-07-03T00:00:00Z,Bacteriophage R18C,31834,complete
NC_049462,2020-07-03T00:00:00Z,Klebsiella phage Magnus,157741,complete
NC_049463,2020-07-03T00:00:00Z,Stenotrophomonas phage Pokken,76239,complete
NC_049464,2020-07-03T00:00:00Z,Serratia phage Muldoon,167547,complete
NC_049465,2020-07-03T00:00:00Z,Arthrobacter phage Vibaki,48201,complete
NC_049466,2020-07-03T00:00:00Z,Escherichia phage vB_EcoM_4HA13,53311,complete
NC_049467,2020-07-03T00:00:00Z,Klebsiella phage KpCHEMY26,70678,complete
NC_049468,2020-07-03T00:00:00Z,Arthrobacter phage Zartrosa,50782,complete
NC_049469,2020-07-03T00:00:00Z,Sinorhizobium phage ort11,75239,complete
NC_049470,2020-07-03T00:00:00Z,Arthrobacter phage TripleJ,45507,complete
NC_049471,2020-07-03T00:00:00Z,Arthrobacter phage Lymara,68762,complete
NC_049472,2020-07-03T00:00:00Z,Klebsiella virus UPM 2146,160795,complete
NC_049473,2020-07-03T00:00:00Z,Arthrobacter phage Kuleana,38850,complete
NC_049474,2020-07-03T00:00:00Z,Lactococcus phage P1532,29075,complete
NC_049475,2020-07-03T00:00:00Z,Lactococcus phage P656,28396,complete
NC_049476,2020-07-03T00:00:00Z,Lactococcus phage P4565,32697,complete
NC_049477,2020-07-03T00:00:00Z,Vibrio phage Valm-yong1,33851,complete
NC_049478,2020-07-03T00:00:00Z,Arthrobacter phage Mufasa8,60205,complete
NC_049479,2020-07-03T00:00:00Z,Acinetobacter phage Konradin,166210,complete
NC_049480,2020-07-03T00:00:00Z,Lactococcus phage CHPC129,30832,complete
NC_049481,2020-07-03T00:00:00Z,Lactococcus phage CHPC361,30162,complete
NC_049482,2020-07-03T00:00:00Z,Lactococcus phage CHPC362,27642,complete
NC_049483,2020-07-03T00:00:00Z,Lactococcus phage CHPC52,29652,complete
NC_049484,2020-07-03T00:00:00Z,Lactococcus phage CHPC781,29218,complete
NC_049485,2020-07-03T00:00:00Z,Lactococcus phage CHPC958,32653,complete
NC_049486,2020-07-03T00:00:00Z,Lactococcus phage CHPC959,29340,complete
NC_049487,2020-07-03T00:00:00Z,Lactococcus phage CHPC964,29925,complete
NC_049488,2020-07-03T00:00:00Z,Lactococcus phage CHPC965,25327,complete
NC_049489,2020-07-03T00:00:00Z,Arthrobacter phage DrYang,69061,complete
NC_049490,2020-07-03T00:00:00Z,Acinetobacter phage Berthold,165927,complete
NC_049491,2020-07-03T00:00:00Z,Acinetobacter phage Apostate,164746,complete
NC_049492,2020-07-03T00:00:00Z,Acinetobacter phage Kimel,167922,complete
NC_049493,2020-07-03T00:00:00Z,Acinetobacter phage Lazarus,165151,complete
NC_049494,2020-07-03T00:00:00Z,Acinetobacter phage vB_AbaM_PhT2,166330,complete
NC_049495,2020-07-03T00:00:00Z,Salmonella phage Se-B,158087,complete
NC_049496,2020-07-03T00:00:00Z,Salmonella phage Se-G,158892,complete
NC_049497,2020-07-03T00:00:00Z,Salmonella phage Se-J,160400,complete
NC_049498,2020-07-03T00:00:00Z,Arthrobacter phage Abba,46623,complete
NC_049499,2020-07-03T00:00:00Z,Salmonella phage rabagast,143249,complete
NC_049500,2020-07-03T00:00:00Z,Salmonella phage heyday,144232,complete
NC_049501,2020-07-03T00:00:00Z,Salmonella phage allotria,151015,complete
NC_049502,2020-07-03T00:00:00Z,Salmonella phage bering,156130,complete
NC_049503,2020-07-03T00:00:00Z,Salmonella phage aagejoakim,156801,complete
NC_049504,2020-07-03T00:00:00Z,Salmonella phage dinky,157254,complete
NC_049505,2020-07-03T00:00:00Z,Salmonella phage barely,157920,complete
NC_049506,2020-07-03T00:00:00Z,Salmonella phage moki,158230,complete
NC_049507,2020-07-03T00:00:00Z,Salmonella phage pertopsoe,158905,complete
NC_049508,2020-07-03T00:00:00Z,Salmonella phage maane,159128,complete
NC_049509,2020-07-03T00:00:00Z,Salmonella phage P46FS4,158706,complete
NC_049510,2020-07-03T00:00:00Z,Erwinia phage phiEaP-8,75929,complete
NC_049511,2020-07-03T00:00:00Z,Acinetobacter phage AM101,166487,complete
NC_049512,2020-07-03T00:00:00Z,Salmonella phage SE14,152926,complete
NC_049200,2020-07-02T00:00:00Z,Sida ciliaris golden mosaic virus,2607,complete
NC_048624,2020-06-19T00:00:00Z,Staphylococcus phage phi7247PVL,42481,complete
NC_048625,2020-06-19T00:00:00Z,Lactobacillus phage T25,38421,complete
NC_048626,2020-06-19T00:00:00Z,Pseudomonas phage PA01,66220,complete
NC_048627,2020-06-19T00:00:00Z,Escherichia phage SP15,110964,complete
NC_048628,2020-06-19T00:00:00Z,Bacillus phage BceA1,42932,complete
NC_048629,2020-06-19T00:00:00Z,Clostridium phage CpV1,16748,complete
NC_048630,2020-06-19T00:00:00Z,Pseudoalteromonas phage HP1,45035,complete
NC_048631,2020-06-19T00:00:00Z,Bacillus phage phi105,39318,complete
NC_048632,2020-06-19T00:00:00Z,Salmonella phage 35,55391,complete
NC_048633,2020-06-19T00:00:00Z,Bacillus phage vB_BceS-MY192,44696,complete
NC_048634,2020-06-19T00:00:00Z,Staphylococcus phage P282,41960,complete
NC_048635,2020-06-19T00:00:00Z,Staphylococcus phage P630,40448,complete
NC_048636,2020-06-19T00:00:00Z,Staphylococcus phage P1105,42282,complete
NC_048637,2020-06-19T00:00:00Z,Bacteriophage vB_NpeS-2AV2,139100,complete
NC_048638,2020-06-19T00:00:00Z,Pseudomonas phage ZC03,69844,complete
NC_048639,2020-06-19T00:00:00Z,Pseudomonas phage ZC08,70774,complete
NC_048640,2020-06-19T00:00:00Z,Bacillus phage vB_BtS_BMBtp14,50740,complete
NC_048641,2020-06-19T00:00:00Z,Bacillus phage PfEFR-4,43223,complete
NC_048642,2020-06-19T00:00:00Z,Clostridium phage CDKM9,49822,complete
NC_048643,2020-06-19T00:00:00Z,Clostridium phage CDKM15,50605,complete
NC_048644,2020-06-19T00:00:00Z,Staphylococcus phage 3 AJ-2017,43922,complete
NC_048645,2020-06-19T00:00:00Z,Cronobacter phage vB_CsaM_leB,177907,complete
NC_048646,2020-06-19T00:00:00Z,Cronobacter phage vB_CsaM_leE,181570,complete
NC_048647,2020-06-19T00:00:00Z,Klebsiella phage KNP2,146203,complete
NC_048648,2020-06-19T00:00:00Z,Salmonella phage ST-101,59132,complete
NC_048649,2020-06-19T00:00:00Z,Salmonella phage UPF_BP2,54894,complete
NC_048650,2020-06-19T00:00:00Z,Streptomyces phage BRock,112523,complete
NC_048651,2020-06-19T00:00:00Z,Aeribacillus phage AP45,51606,complete
NC_048652,2020-06-19T00:00:00Z,Bacillus virus vB_BsuM-Goe3,156430,complete
NC_048653,2020-06-19T00:00:00Z,Pectobacterium phage vB_PatP_CB1,76041,complete
NC_048654,2020-06-19T00:00:00Z,Pectobacterium phage vB_PatP_CB4,76621,complete
NC_048655,2020-06-19T00:00:00Z,Salmonella phage BSPM4,59097,complete
