contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
15494	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.23	AAI-based (high-confidence)	0	1	
15654	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.06	AAI-based (high-confidence)	0	1	no viral genes detected
15792	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.19	AAI-based (high-confidence)	0	1	
15850	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.33	AAI-based (high-confidence)	0	1	
15852	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.12	AAI-based (high-confidence)	0	1	no viral genes detected
15936	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.06	AAI-based (high-confidence)	0	1	no viral genes detected
15996	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.2	AAI-based (high-confidence)	0	1	no viral genes detected
16072	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.14	AAI-based (high-confidence)	0	1	
16172	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.06	AAI-based (high-confidence)	0	1	no viral genes detected
16180	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.26	AAI-based (high-confidence)	0	1	no viral genes detected
16360	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.25	AAI-based (high-confidence)	0	1	
16452	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.01	AAI-based (high-confidence)	0	1	
16940	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.18	AAI-based (high-confidence)	0	1	
17082	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.2	AAI-based (high-confidence)	0	1	
17582	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.35	AAI-based (high-confidence)	0	1	
17768	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.15	AAI-based (high-confidence)	0	1	
17834	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.14	AAI-based (high-confidence)	0	1	
18372	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.13	AAI-based (high-confidence)	0	1	no viral genes detected
18648	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.14	AAI-based (high-confidence)	0	1	no viral genes detected
19008	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.13	AAI-based (high-confidence)	0	1	no viral genes detected
19286	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.27	AAI-based (high-confidence)	0	1	no viral genes detected
19312	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.07	AAI-based (high-confidence)	0	1	no viral genes detected
19374	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.07	AAI-based (high-confidence)	0	1	
19386	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.25	AAI-based (high-confidence)	0	1	
19616	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.08	AAI-based (high-confidence)	0	1	
19642	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.2	AAI-based (high-confidence)	0	1	no viral genes detected
19750	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.2	AAI-based (high-confidence)	0	1	
20010	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.05	AAI-based (high-confidence)	0	1	no viral genes detected
20272	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.24	AAI-based (high-confidence)	0	1	no viral genes detected
20304	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.08	AAI-based (high-confidence)	0	1	no viral genes detected
20586	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.21	AAI-based (high-confidence)	0	1	no viral genes detected
20758	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.06	AAI-based (high-confidence)	0	1	no viral genes detected
20816	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.06	AAI-based (high-confidence)	0	1	no viral genes detected
20864	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.11	AAI-based (high-confidence)	0	1	no viral genes detected
20942	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.2	AAI-based (high-confidence)	0	1	
20968	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.2	AAI-based (high-confidence)	0	1	no viral genes detected
21168	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.25	AAI-based (high-confidence)	0	1	
21248	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.06	AAI-based (high-confidence)	0	1	
21424	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.07	AAI-based (high-confidence)	0	1	
21464	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.09	AAI-based (high-confidence)	0	1	
21480	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.19	AAI-based (high-confidence)	0	1	
21610	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.09	AAI-based (high-confidence)	0	1	no viral genes detected
21706	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.07	AAI-based (high-confidence)	0	1	no viral genes detected
22186	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.14	AAI-based (high-confidence)	0	1	
22376	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.2	AAI-based (high-confidence)	0	1	
22396	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.19	AAI-based (high-confidence)	0	1	no viral genes detected
22724	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.05	AAI-based (high-confidence)	0	1	no viral genes detected
22904	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.07	AAI-based (high-confidence)	0	1	no viral genes detected
23838	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.1	AAI-based (high-confidence)	0	1	
23858	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.11	AAI-based (high-confidence)	0	1	
24054	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.06	AAI-based (high-confidence)	0	1	no viral genes detected
24062	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.26	AAI-based (high-confidence)	0	1	no viral genes detected
24166	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.1	AAI-based (high-confidence)	0	1	no viral genes detected
24210	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.08	AAI-based (high-confidence)	0	1	no viral genes detected
24372	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.06	AAI-based (high-confidence)	0	1	
24448	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.24	AAI-based (high-confidence)	0	1	no viral genes detected
24564	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.05	AAI-based (high-confidence)	0	1	
24636	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.15	AAI-based (high-confidence)	0	1	
24708	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.17	AAI-based (high-confidence)	0	1	
24752	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.22	AAI-based (high-confidence)	0	1	no viral genes detected
24812	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.06	AAI-based (high-confidence)	0	1	no viral genes detected
24816	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.27	AAI-based (high-confidence)	0	1	no viral genes detected
24872	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.24	AAI-based (high-confidence)	0	1	
24874	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.18	AAI-based (high-confidence)	0	1	no viral genes detected
25000	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.06	AAI-based (high-confidence)	0	1	no viral genes detected
25006	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.07	AAI-based (high-confidence)	0	1	no viral genes detected
25048	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.25	AAI-based (high-confidence)	0	1	no viral genes detected
25140	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.08	AAI-based (high-confidence)	0	1	no viral genes detected
25296	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.15	AAI-based (high-confidence)	0	1	no viral genes detected
25586	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.17	AAI-based (high-confidence)	0	1	
25830	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.07	AAI-based (high-confidence)	0	1	
25940	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.16	AAI-based (high-confidence)	0	1	no viral genes detected
25946	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.23	AAI-based (high-confidence)	0	1	
26086	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.22	AAI-based (high-confidence)	0	1	no viral genes detected
26154	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.29	AAI-based (high-confidence)	0	1	no viral genes detected
26384	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.06	AAI-based (high-confidence)	0	1	
26598	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.06	AAI-based (high-confidence)	0	1	
26740	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.06	AAI-based (high-confidence)	0	1	
26804	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.33	AAI-based (high-confidence)	0	1	
26844	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.08	AAI-based (high-confidence)	0	1	no viral genes detected
26886	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.06	AAI-based (high-confidence)	0	1	
27056	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.06	AAI-based (high-confidence)	0	1	
27092	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.13	AAI-based (high-confidence)	0	1	
27344	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.26	AAI-based (high-confidence)	0	1	no viral genes detected
27576	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.19	AAI-based (high-confidence)	0	1	
27776	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.07	AAI-based (high-confidence)	0	1	no viral genes detected
27828	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.15	AAI-based (high-confidence)	0	1	no viral genes detected
27942	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.27	AAI-based (high-confidence)	0	1	no viral genes detected
28062	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.04	AAI-based (high-confidence)	0	1	no viral genes detected
28192	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.17	AAI-based (high-confidence)	0	1	no viral genes detected
28240	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.19	AAI-based (high-confidence)	0	1	
28366	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.2	AAI-based (high-confidence)	0	1	
28500	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.07	AAI-based (high-confidence)	0	1	no viral genes detected
28564	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.16	AAI-based (high-confidence)	0	1	
28606	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.22	AAI-based (high-confidence)	0	1	
28682	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.14	AAI-based (high-confidence)	0	1	
28686	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.14	AAI-based (high-confidence)	0	1	no viral genes detected
28788	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.22	AAI-based (high-confidence)	0	1	no viral genes detected
29042	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.28	AAI-based (high-confidence)	0	1	no viral genes detected
29510	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.18	AAI-based (high-confidence)	0	1	no viral genes detected
29516	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.23	AAI-based (high-confidence)	0	1	
29776	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.31	AAI-based (high-confidence)	0	1	no viral genes detected
30258	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.24	AAI-based (high-confidence)	0	1	
30316	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.04	AAI-based (high-confidence)	0	1	no viral genes detected
30760	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.15	AAI-based (high-confidence)	0	1	
30820	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.17	AAI-based (high-confidence)	0	1	
30954	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.11	AAI-based (high-confidence)	0	1	
31204	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.23	AAI-based (high-confidence)	0	1	
31888	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.06	AAI-based (high-confidence)	0	1	
31932	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.19	AAI-based (high-confidence)	0	1	
31936	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.11	AAI-based (high-confidence)	0	1	
31950	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.17	AAI-based (high-confidence)	0	1	no viral genes detected
31966	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.06	AAI-based (high-confidence)	0	1	no viral genes detected
32004	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.2	AAI-based (high-confidence)	0	1	no viral genes detected
32116	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.2	AAI-based (high-confidence)	0	1	
32240	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.57	AAI-based (high-confidence)	0	1	no viral genes detected
32246	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.19	AAI-based (high-confidence)	0	1	
32416	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.1	AAI-based (high-confidence)	0	1	no viral genes detected
32524	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.19	AAI-based (high-confidence)	0	1	no viral genes detected
32634	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.17	AAI-based (high-confidence)	0	1	
32710	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.18	AAI-based (high-confidence)	0	1	no viral genes detected
32802	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.03	AAI-based (high-confidence)	0	1	no viral genes detected
32922	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.19	AAI-based (high-confidence)	0	1	
33136	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.34	AAI-based (high-confidence)	0	1	
33364	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.04	AAI-based (high-confidence)	0	1	no viral genes detected
33370	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.12	AAI-based (high-confidence)	0	1	no viral genes detected
33752	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.17	AAI-based (high-confidence)	0	1	no viral genes detected
33808	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.07	AAI-based (high-confidence)	0	1	no viral genes detected
33880	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.25	AAI-based (high-confidence)	0	1	no viral genes detected
34204	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.05	AAI-based (high-confidence)	0	1	
34382	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.12	AAI-based (high-confidence)	0	1	no viral genes detected
34414	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.19	AAI-based (high-confidence)	0	1	no viral genes detected
34474	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.18	AAI-based (high-confidence)	0	1	
34636	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.23	AAI-based (high-confidence)	0	1	no viral genes detected
34926	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.14	AAI-based (high-confidence)	0	1	no viral genes detected
35084	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.19	AAI-based (high-confidence)	0	1	
35516	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.16	AAI-based (high-confidence)	0	1	no viral genes detected
35694	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.23	AAI-based (high-confidence)	0	1	no viral genes detected
35736	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.19	AAI-based (high-confidence)	0	1	
35900	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.18	AAI-based (high-confidence)	0	1	no viral genes detected
35924	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.14	AAI-based (high-confidence)	0	1	no viral genes detected
36014	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.13	AAI-based (high-confidence)	0	1	no viral genes detected
36806	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.07	AAI-based (high-confidence)	0	1	no viral genes detected
36860	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.08	AAI-based (high-confidence)	0	1	
36870	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.06	AAI-based (high-confidence)	0	1	
36916	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.13	AAI-based (high-confidence)	0	1	no viral genes detected
36986	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.21	AAI-based (high-confidence)	0	1	no viral genes detected
37212	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.05	AAI-based (high-confidence)	0	1	
37358	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.13	AAI-based (high-confidence)	0	1	no viral genes detected
37430	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.19	AAI-based (high-confidence)	0	1	
37518	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.19	AAI-based (high-confidence)	0	1	
37520	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.24	AAI-based (high-confidence)	0	1	no viral genes detected
37626	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.25	AAI-based (high-confidence)	0	1	
37926	100	No	NA	1	1	0	Low-quality	Genome-fragment	0.24	AAI-based (high-confidence)	0	1	
37978	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.04	AAI-based (high-confidence)	0	1	no viral genes detected
37998	100	No	NA	1	0	0	Low-quality	Genome-fragment	0.28	AAI-based (high-confidence)	0	1	no viral genes detected
